id,kel_1_qn,kel_1_ans,kel_2_qn,kel_2_ans,kel_3_qn,kel_3_ans,prov,female,urban,muslim,age,married,children,educ,retired,unemployed,income,javanese,santri,v_11,v_14,v_15,v_16,v_17,v_18,v_19,v_20,v_21,v_23,v_55,v_56,v_60,v_62,v_65,v_77,v_78,v_79,v_82,v_84,v_86,v_87,v_109,v_114,v_116,v_117,v_118,v_120,v_121,v_122,v_124,v_125,v_126,v_128,v_129,v_130,v_132,v_133,v_134,v_136,v_137,v_138,v_140,v_141,prio1,prio2,prio3,prio4,prio5,prio6,prio7,prio8,prio9,prio10,prio11,prio12,prio13,prio14,prio15,prio16,prio17,prio18
1455,"Pancasila/Bad","No","Islam/Bad","No","Islam/Good","Yes","JawaTengah",1,0,1,35,1,2,3,0,0,1,1,0,"Rarely","Fairly Often","Never","Never","Never","Never","Never","Never","Routinely/Always/Very Often","Don't know","Worse","Worse","Much progress","Very Large","Very Large","Not Interested","Very large","Yes","susilo bambang yudhoyono-m. jusuf kalla","Somewhat satisfied","Strongly disagree","Disagree","Compatible","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree",0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
1456,"Pancasila/Unclear","No","Pancasila/Good","Yes","Islam/Bad","No","JawaTengah",1,0,1,35,1,3,3,0,0,3,1,0,"Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Seldom","Fairly Often","Never","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Don't know","Much worse","Same","Some progress","Somewhat Large","Don't Know","Not Interested","Very large","Yes","susilo bambang yudhoyono-m. jusuf kalla","Somewhat satisfied","Strongly agree","Agree","Incompatible","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1457,"Pancasila/Good","Don't know/Refuse to answer","Islam/Good","No","Islam/Unclear","No","JawaTengah",0,0,1,34,1,1,7,0,1,,1,1,"Always","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Fairly Often","Seldom","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Santri","Worse","Worse","Don't know","Don't Know","Don't Know","Very Uninterested","Somewhat large","Yes","Refuse to answer","Can't choose","Agree","Agree","Compatible","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1458,"Pancasila/Unclear","No","Islam/Bad","No","Islam/Unclear","No","JawaTengah",0,0,1,50,1,3,2,0,0,1,1,1,"Always","Fairly Often","Routinely/Always/Very Often","Seldom","Fairly Often","Seldom","Seldom","Routinely/Always/Very Often","Routinely/Always/Very Often","Santri","Much worse","Worse","Don't know","Very Large","Don't Know","Very Interested","None at all","Yes","susilo bambang yudhoyono-m. jusuf kalla","Somewhat satisfied","Strongly agree","Agree","Strongly compatible","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree",0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
1459,"Pancasila/Good","Yes","Pancasila/Bad","No","Islam/Bad","No","DIYogya",0,1,1,80,1,5,3,0,0,1,1,0,"Never","Routinely/Always/Very Often","Routinely/Always/Very Often","Never","Never","Never","Never","Seldom","Routinely/Always/Very Often","Abangan","Worse","Worse","No progress","Very Large","A Little","Very Uninterested","None at all","Yes","wiranto-solahuddin wahid","Not at all satisfied","Strongly agree","Disagree","Compatible","Agree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Disagree","Disagree","Disagree",0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1460,"Islam/Unclear","No","Pancasila/Unclear","No","Islam/Unclear","No","DIYogya",1,0,1,25,1,1,7,0,0,6,1,0,"Always","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Fairly Often","Seldom","Routinely/Always/Very Often","Routinely/Always/Very Often","Other","Much Better","Better","Some progress","Somewhat Large","A Little","Interested","Very large","Yes","megawati sukarnoputri-hasyim muzadi","Somewhat satisfied","Agree","Agree","Compatible","Agree","Disagree","Disagree","Agree","Agree","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree",0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1461,"Islam/Good","Yes","Pancasila/Good","Yes","Islam/Good","Yes","DIYogya",0,0,1,30,1,2,5,0,0,3,1,1,"Rarely","Routinely/Always/Very Often","Routinely/Always/Very Often","Seldom","Fairly Often","Routinely/Always/Very Often","Seldom","Seldom","Routinely/Always/Very Often","Santri","Better","Better","A little progress","A Little","A Little","Interested","Somewhat large","Yes","amien rais-siswono yudhohusodo","Not very satisfied","Disagree","Agree","Compatible","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1462,"Islam/Unclear","No","Islam/Bad","No","Islam/Good","Yes","DIYogya",1,1,1,36,1,2,10,0,0,6,1,0,"Always","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Fairly Often","Fairly Often","Never","Never","Routinely/Always/Very Often","Other","Don't Know","Much Better","A little progress","Very Large","A Little","Very Uninterested","Small","No, because forbidden or not registered",,"Can't choose","Don't know","Don't know","Compatible","Agree","Disagree","Disagree","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Agree","Disagree","Disagree","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer",0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
1463,"Islam/Bad","No","Islam/Unclear","No","Pancasila/Bad","No","DIYogya",1,1,1,40,1,2,7,0,0,4,1,1,"Always","Routinely/Always/Very Often","Routinely/Always/Very Often","Never","Seldom","Fairly Often","Routinely/Always/Very Often","Seldom","Routinely/Always/Very Often","Santri","Worse","Same","Some progress","Somewhat Large","A Little","Interested","Somewhat large","Yes","megawati sukarnoputri-hasyim muzadi","Somewhat satisfied","Agree","Agree","Compatible","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Don't know/Refuse to answer","Agree","Agree","Agree","Disagree","Agree","Don't know/Refuse to answer","Agree","Agree","Agree","Agree","Agree","Agree",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1464,"Islam/Good","Yes","Pancasila/Unclear","No","Islam/Unclear","No","DIYogya",0,0,1,40,1,2,7,0,0,5,1,1,"Always","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Fairly Often","Fairly Often","Fairly Often","Routinely/Always/Very Often","Santri","Same","Same","Some progress","Don't Know","Refuse to Answer","Very Uninterested","Very large","Yes","susilo bambang yudhoyono-m. jusuf kalla","Somewhat satisfied","Disagree","Agree","Compatible","Disagree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Disagree",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1465,"Pancasila/Bad","No","Pancasila/Unclear","No","Islam/Unclear","No","DIYogya",1,1,1,26,0,,10,0,1,4,1,0,"Always","Routinely/Always/Very Often","Routinely/Always/Very Often","Seldom","Seldom","Fairly Often","Fairly Often","Fairly Often","Routinely/Always/Very Often","Other","Worse","Better","A little progress","A Little","Don't Know","Interested","Somewhat large","Yes","susilo bambang yudhoyono-m. jusuf kalla","Not very satisfied","Agree","Agree","Compatible","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Don't know/Refuse to answer","Disagree","Disagree","Don't know/Refuse to answer","Agree","Agree","Don't know/Refuse to answer","Agree","Disagree","Don't know/Refuse to answer","Agree","Disagree","Don't know/Refuse to answer",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1466,"Islam/Good","Yes","Pancasila/Bad","No","Islam/Good","No","DIYogya",0,1,1,26,1,1,5,0,0,2,1,0,"Often","Never","Seldom","Never","Seldom","Never","Never","Seldom","Never","Other","Worse","Worse","A little progress","A Little","Somewhat Large","Not Interested","Somewhat large","Yes","megawati sukarnoputri-hasyim muzadi","Not at all satisfied","Disagree","Disagree","Don't know","Disagree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Disagree","Agree","Disagree","Agree","Agree","Disagree","Disagree","Agree","Disagree","Agree","Agree","Disagree",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1467,"Pancasila/Good","Yes","Pancasila/Unclear","No","Islam/Bad","No","DIYogya",1,0,1,57,1,3,5,0,0,1,1,1,"Always","Routinely/Always/Very Often","Routinely/Always/Very Often","Fairly Often","Seldom","Routinely/Always/Very Often","Routinely/Always/Very Often","Never","Routinely/Always/Very Often","Santri","Worse","Same","No progress","A Little","Don't Know","Not Interested","Somewhat large","Yes","susilo bambang yudhoyono-m. jusuf kalla","Not very satisfied","Agree","Agree","Don't know","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Don't know/Refuse to answer","Agree","Agree","Don't know/Refuse to answer","Disagree","Disagree","Don't know/Refuse to answer","Disagree","Agree","Don't know/Refuse to answer","Disagree","Agree","Don't know/Refuse to answer",0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1468,"Pancasila/Good","Yes","Pancasila/Good","Yes","Islam/Unclear","No","DIYogya",1,0,1,56,1,4,3,0,0,3,1,1,"Always","Routinely/Always/Very Often","Routinely/Always/Very Often","Seldom","Routinely/Always/Very Often","Seldom","Routinely/Always/Very Often","Seldom","Routinely/Always/Very Often","Santri","Much worse","Much worse","A little progress","Somewhat Large","A Little","Not Interested","Very large","Yes","susilo bambang yudhoyono-m. jusuf kalla","Not very satisfied","Strongly disagree","Disagree","Compatible","Agree","Agree","Agree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Disagree",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1469,"Islam/Unclear","No","Islam/Good","Yes","Islam/Good","Yes","DIYogya",1,1,1,32,1,3,3,0,0,3,1,0,"Rarely","Routinely/Always/Very Often","Routinely/Always/Very Often","Seldom","Never","Routinely/Always/Very Often","Seldom","Seldom","Fairly Often","Abangan","Much worse","Same","A little progress","A Little","None","Not Interested","Somewhat large","Yes","megawati sukarnoputri-hasyim muzadi","Not very satisfied","Disagree","Disagree","Compatible","Disagree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree",0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1470,"Pancasila/Bad","No","Pancasila/Good","Yes","Pancasila/Unclear","No","DIYogya",0,1,1,66,1,3,3,1,0,2,1,0,"Always","Routinely/Always/Very Often","Routinely/Always/Very Often","Fairly Often","Routinely/Always/Very Often","Fairly Often","Seldom","Routinely/Always/Very Often","Routinely/Always/Very Often","Abangan","Much worse","Same","A little progress","Very Large","A Little","Not Interested","Somewhat large","Yes","susilo bambang yudhoyono-m. jusuf kalla","Not very satisfied","Strongly disagree","Strongly agree","Strongly compatible","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1471,"Islam/Bad","No","Pancasila/Unclear","No","Islam/Bad","No","DIYogya",1,1,1,21,1,1,9,0,1,6,1,0,"Often","Fairly Often","Routinely/Always/Very Often","Fairly Often","Seldom","Seldom","Fairly Often","Seldom","Routinely/Always/Very Often","Abangan","Worse","Same","A little progress","A Little","Don't Know","Not Interested","Somewhat large","Yes","susilo bambang yudhoyono-m. jusuf kalla","Not very satisfied","Disagree","Agree","Compatible","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Agree","Don't know/Refuse to answer","Don't know/Refuse to answer","Agree","Don't know/Refuse to answer","Don't know/Refuse to answer","Agree","Don't know/Refuse to answer","Don't know/Refuse to answer","Agree","Don't know/Refuse to answer","Don't know/Refuse to answer","Agree","Don't know/Refuse to answer","Don't know/Refuse to answer","Agree","Don't know/Refuse to answer","Don't know/Refuse to answer",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1472,"Islam/Good","Don't know/Refuse to answer","Islam/Unclear","Don't know/Refuse to answer","Pancasila/Bad","Don't know/Refuse to answer","DIYogya",1,1,1,57,1,4,2,0,0,1,1,0,"Never","Routinely/Always/Very Often","Routinely/Always/Very Often","Seldom","Seldom","Routinely/Always/Very Often","Fairly Often","Fairly Often","Routinely/Always/Very Often","Don't know","Same","Don't Know","Some progress","Very Large","Don't Know","Not Interested","Don't know","Yes","Refuse to answer","Not at all satisfied","Disagree","Don't know","Compatible","Don't know/Refuse to answer","Disagree","Disagree","Agree","Agree","Disagree","Agree","Disagree","Disagree","Disagree","Agree","Disagree","Don't know/Refuse to answer","Don't know/Refuse to answer","Disagree","Disagree","Don't know/Refuse to answer","Disagree","Disagree","Don't know/Refuse to answer","Disagree",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1473,"Islam/Unclear","No","Islam/Unclear","No","Pancasila/Good","Yes","DIYogya",1,0,1,30,1,1,3,0,0,1,1,1,"Always","Routinely/Always/Very Often","Fairly Often","Fairly Often","Seldom","Seldom","Fairly Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Santri","Worse","Worse","Some progress","Somewhat Large","Somewhat Large","Not Interested","Somewhat large","Yes","amien rais-siswono yudhohusodo","Somewhat satisfied","Agree","Agree","Strongly incompatible","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1474,"Islam/Good","No","Islam/Unclear","Yes","Pancasila/Unclear","No","DIYogya",1,1,1,40,1,4,3,0,0,1,1,1,"Often","Fairly Often","Routinely/Always/Very Often","Fairly Often","Seldom","Never","Seldom","Seldom","Routinely/Always/Very Often","Santri","Worse","Same","Much progress","Somewhat Large","Very Large","Not Interested","Somewhat large","No, because forbidden or not registered","megawati sukarnoputri-hasyim muzadi","Somewhat satisfied","Agree","Strongly disagree","Compatible","Agree","Agree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1475,"Pancasila/Unclear","No","Pancasila/Good","Yes","Pancasila/Bad","No","DIYogya",0,0,1,44,1,2,7,0,0,1,1,1,"Always","Routinely/Always/Very Often","Fairly Often","Fairly Often","Fairly Often","Seldom","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Santri","Worse","Same","Some progress","Very Large","A Little","Not Interested","Very large","Yes","megawati sukarnoputri-hasyim muzadi","Somewhat satisfied","Disagree","Disagree","Compatible","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1476,"Islam/Unclear","No","Pancasila/Bad","No","Pancasila/Bad","No","DIYogya",0,0,1,55,1,3,3,0,0,1,1,1,"Always","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Fairly Often","Seldom","Routinely/Always/Very Often","Routinely/Always/Very Often","Santri","Worse","Worse","Some progress","A Little","None","Not Interested","Very large","Yes","susilo bambang yudhoyono-m. jusuf kalla","Not very satisfied","Disagree","Agree","Compatible","Agree","Agree","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Disagree",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1477,"Pancasila/Bad","Yes","Islam/Unclear","No","Pancasila/Unclear","No","DIYogya",1,1,1,56,1,5,3,0,0,1,1,0,"Always","Routinely/Always/Very Often","Routinely/Always/Very Often","Fairly Often","Fairly Often","Fairly Often","Fairly Often","Fairly Often","Fairly Often","Abangan","Much worse","Worse","Don't know","Somewhat Large","None","Not Interested","Very large","Yes","hamzah haz-agum gumelar","Somewhat satisfied","Don't know","Agree","Compatible","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree",0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1478,"Islam/Good","Yes","Pancasila/Unclear","No","Islam/Unclear","No","DIYogya",0,1,1,61,1,3,7,0,0,2,1,0,"Rarely","Routinely/Always/Very Often","Routinely/Always/Very Often","Fairly Often","Routinely/Always/Very Often","Fairly Often","Fairly Often","Fairly Often","Routinely/Always/Very Often","Other","Worse","Same","A little progress","A Little","Don't Know","Don't know","Somewhat large","Yes","Refuse to answer","Not very satisfied","Disagree","Disagree","Don't know","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Don't know/Refuse to answer","Disagree","Disagree","Don't know/Refuse to answer","Disagree","Disagree","Don't know/Refuse to answer","Disagree","Disagree","Don't know/Refuse to answer","Disagree","Disagree","Don't know/Refuse to answer","Disagree",0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
1479,"Islam/Bad","No","Islam/Bad","No","Islam/Bad","No","DIYogya",0,1,1,50,1,2,3,0,0,3,1,0,"Always","Fairly Often","Fairly Often","Seldom","Fairly Often","Seldom","Fairly Often","Fairly Often","Routinely/Always/Very Often","Other","Same","Worse","No progress","Somewhat Large","A Little","Not Interested","Somewhat large","Yes","Refuse to answer","Somewhat satisfied","Agree","Agree","Compatible","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree",0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1480,"Islam/Good","Yes","Islam/Good","No","Islam/Bad","No","DIYogya",0,0,0,25,0,,7,0,1,,1,,"Always",,,,,,,,,,"Worse","Worse","Some progress","Somewhat Large","A Little","Not Interested","Very large","Yes","megawati sukarnoputri-hasyim muzadi","Somewhat satisfied","Strongly disagree","Disagree","Don't know","Agree","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Don't know/Refuse to answer","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1481,"Islam/Good","Yes","Islam/Unclear","Yes","Islam/Unclear","Yes","DIYogya",1,0,1,62,1,3,2,0,0,,1,1,"Always","Routinely/Always/Very Often","Routinely/Always/Very Often","Don't Know","Seldom","Seldom","Routinely/Always/Very Often","Seldom","Routinely/Always/Very Often","Santri","Same","Same","A little progress","Very Large","Don't Know","Not Interested","Don't know","Yes","susilo bambang yudhoyono-m. jusuf kalla","Very satisfied","Agree","Disagree","Incompatible","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1482,"Islam/Good","Yes","Pancasila/Good","Yes","Pancasila/Good","Yes","DIYogya",0,0,1,28,0,,5,0,1,5,1,0,"Always","Seldom","Fairly Often","Seldom","Seldom","Seldom","Seldom","Fairly Often","Routinely/Always/Very Often","Abangan","Worse","Same","Some progress","A Little","None","Not Interested","Very large","Yes","megawati sukarnoputri-hasyim muzadi","Somewhat satisfied","Agree","Agree","Compatible","Agree","Disagree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Disagree","Disagree","Agree","Agree","Disagree",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1483,"Islam/Bad","No","Islam/Unclear","No","Islam/Good","Yes","DIYogya",0,1,1,35,1,2,7,0,0,8,1,1,"Always","Routinely/Always/Very Often","Routinely/Always/Very Often","Fairly Often","Fairly Often","Fairly Often","Fairly Often","Fairly Often","Routinely/Always/Very Often","Santri","Much worse","Same","Much progress","A Little","A Little","Interested","Somewhat large","Yes","susilo bambang yudhoyono-m. jusuf kalla","Somewhat satisfied","Disagree","Agree","Strongly incompatible","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Don't know/Refuse to answer","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Disagree","Don't know/Refuse to answer","Agree","Disagree","Don't know/Refuse to answer",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1484,"Islam/Bad","No","Islam/Unclear","No","Islam/Good","Yes","DIYogya",0,0,1,26,1,1,5,0,0,3,1,1,"Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Fairly Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Seldom","Routinely/Always/Very Often","Routinely/Always/Very Often","Santri","Worse","Same","A little progress","Somewhat Large","A Little","Interested","Small","Yes","susilo bambang yudhoyono-m. jusuf kalla","Somewhat satisfied","Agree","Agree","Incompatible","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1485,"Pancasila/Bad","No","Pancasila/Good","Yes","Pancasila/Good","Yes","DIYogya",1,1,1,52,1,3,3,0,0,5,1,1,"Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Seldom","Routinely/Always/Very Often","Fairly Often","Routinely/Always/Very Often","Fairly Often","Routinely/Always/Very Often","Santri","Worse","Same","No progress","A Little","None","Interested","Somewhat large","Yes","susilo bambang yudhoyono-m. jusuf kalla","Can't choose","Disagree","Don't know","Don't know","Agree","Agree","Don't know/Refuse to answer","Agree","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer",0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1486,"Pancasila/Good","Yes","Islam/Bad","No","Pancasila/Good","Yes","DIYogya",0,1,1,30,1,1,7,0,0,3,1,0,"Always","Fairly Often","Routinely/Always/Very Often","Seldom","Fairly Often","Seldom","Seldom","Seldom","Routinely/Always/Very Often","Other","Worse","Same","A little progress","A Little","Don't Know","Not Interested","Very large","Yes","megawati sukarnoputri-hasyim muzadi","Somewhat satisfied","Agree","Agree","Compatible","Disagree","Agree","Disagree","Agree","Agree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Don't know/Refuse to answer","Disagree","Don't know/Refuse to answer","Don't know/Refuse to answer","Don't know/Refuse to answer","Disagree",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1487,"Pancasila/Unclear","No","Pancasila/Good","Yes","Islam/Good","Yes","DIYogya",1,0,1,29,1,1,5,0,0,2,1,0,"Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Seldom","Seldom","Seldom","Fairly Often","Fairly Often","Routinely/Always/Very Often","Abangan","Worse","Worse","No progress","A Little","Somewhat Large","Interested","Very large","Yes","megawati sukarnoputri-hasyim muzadi","Not at all satisfied","Agree","Strongly agree","Incompatible","Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1488,"Islam/Unclear","No","Pancasila/Good","Yes","Pancasila/Good","Yes","DIYogya",0,1,1,42,0,,7,0,0,4,1,0,"Often","Fairly Often","Routinely/Always/Very Often","Never","Fairly Often","Fairly Often","Fairly Often","Seldom","Fairly Often","Priyayi","Worse","Worse","Some progress","Somewhat Large","Somewhat Large","Not Interested","Small","Yes","susilo bambang yudhoyono-m. jusuf kalla","Somewhat satisfied","Disagree","Disagree","Compatible","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1489,"Pancasila/Good","Yes","Pancasila/Bad","No","Islam/Unclear","Yes","DIYogya",0,0,1,62,1,4,3,0,0,2,1,0,"Always","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Fairly Often","Routinely/Always/Very Often","Routinely/Always/Very Often","Abangan","Worse","Better","A little progress","Somewhat Large","A Little","Not Interested","Somewhat large","Yes","megawati sukarnoputri-hasyim muzadi","Somewhat satisfied","Agree","Agree","Compatible","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Disagree",0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
